,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[44],-0.323491,0.00165863,0.129769,0.122316,-0.560471,-0.304495,-0.148509,7368.23,5026.79,0.364031,1.00034
log_lik[45],-0.323491,0.00165863,0.129769,0.122316,-0.560471,-0.304495,-0.148509,7368.23,5026.79,0.364031,1.00034
log_lik[46],-0.587497,0.00224446,0.225237,0.213203,-1.00556,-0.554915,-0.274166,9325.49,5549.71,0.46073,1.00075
log_lik[47],-0.587497,0.00224446,0.225237,0.213203,-1.00556,-0.554915,-0.274166,9325.49,5549.71,0.46073,1.00075
log_lik[48],-0.587497,0.00224446,0.225237,0.213203,-1.00556,-0.554915,-0.274166,9325.49,5549.71,0.46073,1.00075
log_lik[49],-0.587497,0.00224446,0.225237,0.213203,-1.00556,-0.554915,-0.274166,9325.49,5549.71,0.46073,1.00075
log_lik[50],-0.587497,0.00224446,0.225237,0.213203,-1.00556,-0.554915,-0.274166,9325.49,5549.71,0.46073,1.00075
log_lik[51],-2.15833,0.00621861,0.509042,0.49368,-3.01045,-2.14562,-1.3379,6688.0,6610.61,0.330424,0.999947
log_lik[52],-2.08106,0.00534954,0.42232,0.403063,-2.84934,-2.03246,-1.48454,6861.54,5927.37,0.338998,1.00039
log_lik[53],-2.14869,0.00546113,0.433435,0.416196,-2.93396,-2.1032,-1.53104,6896.61,5896.97,0.34073,1.00046
log_lik[54],-2.40721,0.00578649,0.467375,0.456388,-3.23683,-2.3683,-1.71991,7027.56,6078.26,0.3472,1.00053
log_lik[55],-2.68247,0.00600316,0.492371,0.483236,-3.54763,-2.65397,-1.93712,7159.55,5907.44,0.353721,1.00053
log_lik[56],-2.26854,0.00809472,0.536373,0.542848,-3.24284,-2.20824,-1.49511,4319.06,5971.64,0.213385,1.00077
log_lik[57],-2.06237,0.00746468,0.495359,0.497251,-2.98245,-1.99144,-1.38636,4299.62,6126.98,0.212425,1.00073
log_lik[58],-2.21507,0.00912191,0.601574,0.617047,-3.22624,-2.20264,-1.25475,4397.23,6321.28,0.217247,1.00052
log_lik[59],-2.21507,0.00912191,0.601574,0.617047,-3.22624,-2.20264,-1.25475,4397.23,6321.28,0.217247,1.00052
log_lik[60],-2.21507,0.00912191,0.601574,0.617047,-3.22624,-2.20264,-1.25475,4397.23,6321.28,0.217247,1.00052
y_rep[1],1.80966,0.0158275,1.38651,1.31969,-0.488617,1.82096,4.03507,7746.19,7226.29,0.382704,1.00018
y_rep[2],1.78584,0.0156223,1.35679,1.31253,-0.433311,1.7867,3.96918,7528.56,7560.01,0.371952,1.00017
y_rep[3],1.78879,0.0160171,1.39878,1.34172,-0.535284,1.82569,4.05056,7704.57,7330.02,0.380648,1.0003
y_rep[4],1.80812,0.0162079,1.39698,1.34221,-0.485726,1.82321,4.03871,7487.17,7711.09,0.369907,1.00014
y_rep[5],1.78586,0.0162204,1.40406,1.34029,-0.552539,1.81465,4.06528,7520.72,7358.02,0.371564,1.00058
y_rep[6],3.6368,0.0153429,1.35744,1.31446,1.36937,3.65779,5.78956,7845.33,8012.35,0.387602,1.00068
y_rep[7],3.61222,0.0156864,1.35957,1.28938,1.3726,3.63314,5.7747,7559.99,7482.56,0.373505,1.00013
y_rep[8],3.61115,0.0156888,1.38147,1.29835,1.32536,3.65454,5.81202,7757.94,7542.37,0.383285,1.00102
y_rep[9],3.60103,0.0160801,1.36229,1.29555,1.35643,3.6141,5.81419,7194.79,7428.09,0.355462,1.00037
y_rep[10],3.61498,0.0162809,1.38825,1.29079,1.30717,3.63723,5.84246,7318.61,6797.33,0.361579,1.00044
y_rep[11],5.57574,0.0153958,1.35308,1.29102,3.34212,5.60353,7.7355,7739.76,7181.9,0.382386,1.0001
y_rep[12],5.57242,0.015597,1.37283,1.31601,3.28709,5.59202,7.77658,7821.37,7079.05,0.386418,1.00004
y_rep[13],5.58637,0.0156188,1.37722,1.29218,3.26287,5.62308,7.76597,7804.02,7267.25,0.385561,0.999979
y_rep[14],5.57532,0.0166385,1.40107,1.34138,3.22084,5.59469,7.80013,7151.58,7035.04,0.353327,0.999895
y_rep[15],5.57222,0.0155853,1.37256,1.31024,3.32139,5.60722,7.76353,7766.94,7638.26,0.383729,1.0002
y_rep[16],5.59386,0.0168027,1.36428,1.27247,3.35856,5.60431,7.81697,6650.23,7684.15,0.328558,1.0
y_rep[17],5.55012,0.0161655,1.39233,1.34575,3.23786,5.57709,7.78648,7477.71,7407.79,0.36944,1.00039
y_rep[18],5.5903,0.0153531,1.33966,1.26774,3.37584,5.61041,7.72761,7671.02,7137.37,0.37899,1.0
y_rep[19],5.60878,0.0156961,1.36338,1.29754,3.35666,5.62148,7.79174,7504.68,7922.07,0.370772,1.0004
y_rep[20],5.58875,0.0161803,1.39051,1.32983,3.30823,5.59211,7.82295,7439.35,7683.61,0.367545,1.00015
y_rep[21],4.56323,0.00479378,0.430216,0.413647,3.87691,4.55272,5.28351,8112.28,7139.87,0.400791,1.00037
y_rep[22],4.55263,0.00480474,0.430218,0.413105,3.8555,4.55001,5.25547,8102.48,7555.44,0.400307,0.999876
y_rep[23],4.5611,0.00463096,0.426116,0.402755,3.88082,4.55026,5.28704,8457.53,7629.75,0.417848,1.00018
y_rep[24],4.55957,0.00469277,0.425548,0.400041,3.88481,4.54993,5.26537,8299.45,7572.01,0.410038,1.00006
y_rep[25],4.55138,0.00471814,0.428906,0.413505,3.86627,4.54111,5.25719,8281.66,7350.82,0.409159,1.00045
y_rep[26],4.74248,0.00496019,0.424878,0.405387,4.05787,4.73853,5.44807,7408.17,6962.75,0.366004,0.999959
y_rep[27],4.74278,0.00497797,0.428477,0.40578,4.06768,4.73314,5.46002,7531.51,7515.85,0.372098,1.00022
y_rep[28],4.74414,0.00492619,0.423591,0.402171,4.05817,4.74016,5.45129,7457.68,7637.15,0.36845,1.00005
y_rep[29],4.73514,0.00470699,0.423093,0.408153,4.04375,4.7354,5.42422,8088.46,7298.29,0.399614,1.00039
y_rep[30],4.74637,0.00473244,0.421367,0.397824,4.06198,4.73965,5.44531,8091.31,7431.81,0.399755,1.00011
y_rep[31],6.62565,0.00499109,0.41784,0.393871,5.94989,6.62094,7.3185,7043.05,7441.53,0.347965,1.00005
